major_id,name,course_code_prefix,credit,course_type
,대학독일어1,Y131053,3,GENERAL
,대학말레이.인도네시아어1,Y131213,3,GENERAL
,대학스페인어1,Y131093,3,GENERAL
,대학아랍어1,Y131193,3,GENERAL
,대학이탈리아어1,Y131113,3,GENERAL
,대학일본어1,Y131173,3,GENERAL
,대학중국어1,Y131153,3,GENERAL
,대학프랑스어1,Y131033,3,GENERAL
,대학영어1,Y131014,3,GENERAL
,미네르바인문(1)읽기와 쓰기,Y121016,3,GENERAL
,정보사회의통계활용,U510414,3,GENERAL
,컴퓨터프로그래밍,U722074,3,GENERAL
,컴퓨팅사고,Y551294,3,GENERAL
,고전그리스어와그리스문명,U762535,2,GENERAL
,동양명작의이해와감상,U762192,2,GENERAL
,라틴어와로마문명,U762205,2,GENERAL
,루쉰과동아시아문학과문화,Y512321,,GENERAL
,문학을통한치유,Y211641,2,GENERAL
,문학이야기,Y512242,2,GENERAL
,법과언어,Y211901,2,GENERAL
,언어와광고,U722233,2,GENERAL
,언어와문화(교양),U611021,2,GENERAL
,언어학과심리실험,Y211013,2,GENERAL
,에스페란토어의이해,U722473,2,GENERAL
,위대한개츠비로본문학비평이론,U760021,2,GENERAL
,"인간의언어,기호,그리고상징",Y211911,2,GENERAL
,인문적사유와글쓰기,U760081,2,GENERAL
,인문학명저산책,Y512331,2,GENERAL
,"인문학의이해-문학,역사,철학",U760031,2,GENERAL
,자서전과자전적글쓰기의이론과실제,Y911521,2,GENERAL
,졸업하기전에읽어야할러시아고전명작,Y512231,2,GENERAL
,창의적독서와자기발견,Y911591,2,GENERAL
,통번역의이론과실제,U762336,2,GENERAL
,한국어의이해,Y211031,2,GENERAL
,한시로읽는동양의삶과미학,Y512251,2,GENERAL
,희곡과시나리오작법,U718153,2,GENERAL
,공감을통한음악의체험,U761002,2,GENERAL
,공연예술의이해와감상,U762162,2,GENERAL
,나를찾아떠나는크리에이티브드라마,Y911581,2,GENERAL
,다문화사회의이해,Y211301,2,GENERAL
,다양성과공존의시각으로다시보는발칸-동유럽,Y911491,2,GENERAL
,대중문화예술의이해,Y211081,2,GENERAL
,도시의미학과문화,Y512153,2,GENERAL
,독일어권문화의이해,Y211121,2,GENERAL
,동남아시아문화의이해,U541073,2,GENERAL
,동아시아의남북문명교류의이해,Y611211,2,GENERAL
,동양미술사입문,Y211211,2,GENERAL
,동유럽.발칸문화의이해,Y211091,2,GENERAL
,디자인과문화,Y211201,2,GENERAL
,디지털미디어와사진제작및응용,U761422,2,GENERAL
,디지털미디어의이해,U718402,2,GENERAL
,라틴아메리카문화의이해,Y211101,2,GENERAL
,만화와애니메이션의이해,U718142,2,GENERAL
,뮤지컬의이해와감상,Y211261,2,GENERAL
,미디어와현대사회,U762772,2,GENERAL
,서양문화와미학,Y211661,2,GENERAL
,서양미술사입문,Y211231,2,GENERAL
,스페인어권문화의이해,Y211141,2,GENERAL
,실크로드와글로벌세계,Y511461,2,GENERAL
,아프리카문화의이해,U541203,2,GENERAL
,연극놀이로몸.마음가꾸기,U515402,2,GENERAL
,예술테라피의이해,Y211271,2,GENERAL
,음악의이해와감상,U762452,2,GENERAL
,중동문화의이해,U541293,2,GENERAL
,중앙아시아문화의이해,U541353,2,GENERAL
,프랑스어권문화의이해,Y211161,2,GENERAL
,한국의세계문화유산,U762133,2,GENERAL
,한국전통예술의이해,Y211291,2,GENERAL
,현대문화론,U541371,2,GENERAL
,기독교사상의이해,Y512161,2,GENERAL
,기업과윤리,Y211541,2,GENERAL
,논리와비판적사고,U762562,2,GENERAL
,동양의지혜,U511121,2,GENERAL
,디지털자료로배우는한국사,U718263,2,GENERAL
,마음과뇌,Y911391,2,GENERAL
,미네르바동양고전강독,Y512172,2,GENERAL
,미네르바서양고전강독,Y512302,2,GENERAL
,붓다의명상법(이론과실제),Y911531,2,GENERAL
,세계사와한국,U762082,2,GENERAL
,신화와종교,U511082,2,GENERAL
,요가경전강독,Y911561,2,GENERAL
,인공지능과마음,Y512211,2,GENERAL
,인권과인간존엄성,Y211531,2,GENERAL
,추리논증,Y211631,2,GENERAL
,한국근.현대사,E031091,2,GENERAL
