major_id,name,course_code,credit,course_type
54,고급파이썬프로그래밍,V41010,3,MAJOR
54,컴퓨터수학,V41002,3,MAJOR
55,Business AI 개론,V41012,3,MAJOR
55,Business AI 사례연구,V41023,3,MAJOR
55,비즈니스데이터베이스,V41031,3,MAJOR
55,Business AI 프로젝트실습(캡스톤디자인),V41027,3,MAJOR
57,컴퓨터논리개론,T07201,3,MAJOR
57,알고리즘,V41008,3,MAJOR
57,운영체제,V41009,3,MAJOR
57,웹프로그래밍,T02253,3,MAJOR
57,인공지능,V41020,3,MAJOR
57,종합설계,T07403,3,MAJOR
31,객체지향프로그래밍,P05208,3,MAJOR
31,경영수학,D01103,3,MAJOR
31,경영학원론,D01203,3,MAJOR
31,경제학개론,P01101,3,MAJOR
31,관리회계,D01310,3,MAJOR
31,국제경영전략,D03467,3,MAJOR
31,글로벌혁신및테크노프러너쉽,P05312,3,MAJOR
31,데이터구조,P05201,3,MAJOR
31,데이터베이스,P05304,3,MAJOR
31,디지털마케팅실습,P05311,3,MAJOR
31,마케팅관리,D10405,3,MAJOR
31,마케팅관리실습,P05413,3,MAJOR
31,마케팅전략실습,P05410,3,MAJOR
31,비즈니스소통,P05202,3,MAJOR
31,비즈니스영작,P05101,3,MAJOR
31,빅데이터분석,P05309,3,MAJOR
31,인적자원관리,P05307,3,MAJOR
31,재무회계,D03204,3,MAJOR
31,졸업프로젝트실습(캡스톤디자인),P05406,3,MAJOR
31,컴퓨터네트워크,P05302,3,MAJOR
31,컴퓨터프로그래밍,P05103,3,MAJOR
31,GBT Special Lecture,P05104,1,MAJOR
31,IT와경영전략,D03455,3,MAJOR
62,이산수학,T04103,3,MAJOR
62,공업수학1,T01201,3,MAJOR
62,오픈소스SW,T01222,3,MAJOR
32,경영수학,D01104,3,MAJOR
32,경영학원론,D01203,3,MAJOR
32,경제학개론,D01101,3,MAJOR
32,고급비즈니스어낼리틱스실습,P01416,3,MAJOR
32,국제경영론,P01206,3,MAJOR
32,글로벌금융과무역특강,P01314,3,MAJOR
32,금융시장론,P01305,3,MAJOR
32,금융프로그래밍,P01310,3,MAJOR
32,기업재무론,P01303,3,MAJOR
32,대체투자론,P01406,3,MAJOR
32,마케팅관리,D01405,3,MAJOR
32,무역경영,P01364,3,MAJOR
32,무역영어,P01204,3,MAJOR
32,미시경제학,D02207,3,MAJOR
32,벤처투자금융론,P01312,3,MAJOR
