course_id,semester,professor,class_time,course_code,room,,
1,13,김백기,수 1 2 3,Y13105301,2214,,
2,13,최신영,화 1 2 3,Y13121301,2312,,
3,13,정원석,금 1 2 8,Y13109301,1302,,
3,13,김선이,금 5 6 7,Y13109302,1302,,
4,13,강원구,화 1 2 3,Y13119301,2402,,
5,13,윤혜신,수 1 2 3,Y13111301,2309,,
6,13,김미정,월 1 2 금 5,Y13117301,2407-1,,
6,13,박성미,수 3 목 3 4,Y13117302,2303-2,,
7,13,서지은,월 5 6 목 7,Y13115301,2303,,
8,13,박은영,화 4 5 6,Y13103301,2512,,
9,13,Alice Julianna Yoo,월 5 6 금 1,Y13101401,0511,,
9,13,Alice Julianna Yoo,월 7 8 금 2,Y13101402,0508,,
9,13,Alice Julianna Yoo,월 6 수 3 4,Y13101403,0508,,
9,13,Alice Julianna Yoo,월 7 수 5 6,Y13101404,0511,,
9,13,Ryan Richard Fitzgerald,수 1 2 금 6,Y13101405,0513,,
9,13,Ryan Richard Fitzgerald,수 7 8 금 7,Y13101406,0511,,
9,13,Ryan Richard Fitzgerald,월 8 금 3 4,Y13101407,0513,,
9,13,Sheila May Tabor,월 1 2 목 2,Y13101408,0511,,
9,13,Sheila May Tabor,월 1 수 1 2,Y13101409,0411,,
9,13,Sheila May Tabor,월 2 수 5 6,Y13101410,0512,,
9,13,Sheila May Tabor,월 3 수 7 8,Y13101411,0512,,
9,13,Frazer Johnston-Theasby,월 1 2 수 1,Y13101412,0410,,
9,13,Frazer Johnston-Theasby,수 2 금 5 6,Y13101413,0512,,
9,13,Scott Michael Henderson,월 1 2 수 2,Y13101414,0508,,
9,13,Scott Michael Henderson,월 3 4 수 3,Y13101415,0411,,
9,13,Scott Michael Henderson,수 4 금 5 6,Y13101416,0511,,
9,13,Scott Michael Henderson,수 6 금 7 8,Y13101417,0508,,
9,13,Billy Joseph Fitzgerald,월 1 수 1 2,Y13101418,0509,,
9,13,Billy Joseph Fitzgerald,월 2 수 3 4,Y13101419,0509,,
9,13,Billy Joseph Fitzgerald,월 4 금 1 2,Y13101420,0509,,
9,13,Billy Joseph Fitzgerald,월 7 금 3 4,Y13101421,0509,,
9,13,James Iain Finnie,수 3 4 금 4,Y13101422,0512,,
9,13,James Iain Finnie,수 5 6 금 5,Y13101423,0509,,
9,13,James Iain Finnie,수 7 8 금 6,Y13101424,0509,,
9,13,Nicolas Caballero,월 3 4 금 1,Y13101425,0410,,
9,13,Nicolas Caballero,월 5 6 금 2,Y13101426,0410,,
9,13,Nicolas Caballero,월 7 8 금 3,Y13101427,0512,,
9,13,Molly Clare Fleming,월 3 4 수 7,Y13101428,0513,,
9,13,Molly Clare Fleming,월 5 6 수 8,Y13101429,0513,,
9,13,Molly Clare Fleming,수 3 4 목 4,Y13101430,0513,,
9,13,Molly Clare Fleming,수 5 6 목 6,Y13101431,0513,,
9,13,Molly Clare Fleming,목 3 금 1 2,Y13101432,0513,,
9,13,Caleb Roland Belgard,화 4 수 1 2,Y13101433,0501,,
9,13,Anika Jean Casem,화 3 금 1 2,Y13101434,0501,,
9,13,Anika Jean Casem,수 1 2 3,Y13101435,0501,,
9,13,Caleb Roland Belgard,월 4 수 3 4,Y13101436,0409,,
9,13,Caleb Roland Belgard,월 5 수 7 8,Y13101437,0508,,
9,13,Caleb Roland Belgard,월 6 수 5 6,Y13101438,0409,,
9,13,Caleb Roland Belgard,월 1 2 수 2,Y13101439,0409,,
9,13,Caleb Roland Belgard,월 3 4 수 3,Y13101440,0511,,
9,13,Caleb Roland Belgard,월 7 8 수 4,Y13101441,0410,,
10,13,나영남,목 1 2 3,Y12101601,2313,,
10,13,나영남,목 4 5 6,Y12101602,2313,,
10,13,나영남,수 1 2 3,Y12101603,2313,,
10,13,나영남,수 4 5 6,Y12101604,2313,,
10,13,박남용,월 1 2 3,Y12101605,2406,,
10,13,박남용,월 7 8 9,Y12101606,2406,,
10,13,박남용,목 1 2 3,Y12101607,2406,,
10,13,박남용,목 7 8 9,Y12101608,2406,,
10,13,양선이,월 4 5 6,Y12101609,2214,,
10,13,양선이,월 7 8 9,Y12101610,2214,,
10,13,양선이,수 4 5 6,Y12101611,2214,,
10,13,양선이,목 4 5 6,Y12101612,2214,,
10,13,이정은,화 1 2 3,Y12101613,2401,,
10,13,이정은,화 4 5 6,Y12101614,2401,,
10,13,이정은,수 1 2 3,Y12101615,2416,,
10,13,이정은,수 4 5 6,Y12101616,2416,,
10,13,조준래,화 1 2 3,Y12101617,2504,,
10,13,조준래,화 7 8 9,Y12101618,2412,,
10,13,조준래,목 4 5 6,Y12101619,2408,,
10,13,조준래,월 4 5 6,Y12101620,2501,,
10,13,김철희,화 4 5 6,Y12101621,2502,,
10,13,김철희,화 7 8 9,Y12101622,2502,,
10,13,김희진,금 1 2 3,Y12101623,2303,,
10,13,김희진,금 4 5 6,Y12101624,2303,,
10,13,정근재,월 1 2 3,Y12101625,2413,,
10,13,정근재,월 4 5 6,Y12101626,2413,,
10,13,정중석,화 4 5 6,Y12101627,2413,,
10,13,정중석,화 7 8 9,Y12101628,2413,,
10,13,박소영,목 1 2 3,Y12101629,2412,,
10,13,박소영,목 4 5 6,Y12101630,2412,,
10,13,진은경,화 4 5 6,Y12101631,2414,,
10,13,진은경,화 7 8 9,Y12101632,2414,,
10,13,최재유,월 4 5 6,Y12101633,2401,,
10,13,최재유,월 7 8 9,Y12101634,2401,,
10,13,김세원,목 4 5 6,Y12101637,2314,,
10,13,임익희,화 1 2 3,Y12101638,2311-1,,
10,13,김성수,수 4 5 6,Y12101639,2302,,
10,13,김남희,수 4 5 6,Y12101640,2504,,
10,13,김남희,수 7 8 9,Y12101641,2504,,
10,13,박소영,목 7 8 9,Y12101642,2412,,
10,13,진은경,화 1 2 3,Y12101643,2414,,
10,13,최재유,월 1 2 3,Y12101644,2401,,
10,13,오현희,월 7 8 9,Y12101645,2408,,
10,13,오현희,수 7 8 9,Y12101646,2502,,
11,13,주재윤,월 1 2 3,U51041401,2201,,
