,course,semester,professor,class_time,course_code,room
458,257,13,문영인,목 1 2 3,V41010101,5406
459,257,13,문영인,목 4 5 6,V41010104,5406
460,258,13,김영란,화 4 5 6,V41002203,5311
461,258,13,김영란,화 7 8 9,V41002204,5311
462,259,13,오건택,월 1 2 3,V41012101,2214
463,260,13,신진호,화 4 5 6,V41023101,2513
464,261,13,배주호,월 7 8 9,V41031101,0213
465,262,13,이용웅,화 10 11 12,V41027201,4219
466,263,13,김영란,목 7 8 9,T07201201,0403
467,264,13,이재혁,화 9 10 11,V41008201,5309
468,265,13,김승태,화 1 2 3,V41009201,0209
469,266,13,고석훈,월 1 2 3,T02253601,2515
470,267,13,김재빈,목 4 5 6,V41020101,5405
471,268,13,박민규,월 7 8 9,T07403201,2303
472,269,13,한영진,수 4 5 6,P05208101,4207
473,270,13,배주호,수 7 8 9,D01103701,4417
474,270,13,문유진,수 4 5 6,D01103702,4417
475,271,13,현재훈,월 7 8 9,D01203901,4403
476,271,13,현재훈,화 7 8 9,D01203902,4403
477,271,13,서옥순,화 1 2 3,D01203903,4403
478,272,13,전수봉,목 7 8 9,P01101201,4403
479,273,13,김문현,월 1 2 3,D01310701,4403
480,273,13,김문현,월 4 5 6,D01310702,4403
481,273,13,이윤기,화 7 8 9,D01310703,4411
482,274,13,Tae Young Choi,수 7 8 9,D03467501,4404
483,274,13,김대섭,화 1 2 3,D03467502,4419
484,275,13,Tae Young Choi,화 4 5 6,P05312101,4415
485,276,13,오재준,금 4 5 6,P05201101,4402
486,277,13,배주호,수 4 5 6,P05304201,4405
487,278,13,조명환,목 7 8 9,P05311101,2502
488,279,13,한상식,목 1 2 3,D10405701,4403
489,279,13,한상식,목 4 5 6,D10405702,4403
490,279,13,한상식,화 7 8 9,P05410101,4418
491,282,13,Terrill Reid McLain,목 4 5 6,P05202201,4415
492,282,13,Terrill Reid McLain,수 1 2 3,P05101101,4403
493,283,13,Terrill Reid McLain,수 4 5 6,P05101102,4403
494,284,13,이정,월 7 8 9,P05309102,4207
495,285,13,최누리,금 4 5 6,P05307101,4403
496,286,13,이윤기,화 4 5 6,D03204301,4411
497,287,13,배주호,금 10 11 12,P05406201,4403
498,288,13,오재준,금 7 8 9,P05302101,4212
499,289,13,한영진,수 1 2 3,P05103101,4207
500,290,13,김문현,목 10,P05104101,2201
501,291,13,김병초,화 4 5 6,D03455201,4403
502,292,13,정유진,화 3 목 1 2,T04103901,0515
503,292,13,윤일동,화 1 2 목 3,T04103902,5201
504,292,13,정유진,화 1 2 목 3,T04103903,0515
505,292,13,이민나,목 1 2 3,T04103904,5208
506,293,13,MOHSEN ALI MOHSEN ALAWAMI,월 1 2 수 4,T01201501,5208
507,293,13,한희일,수 6 금 6 7,T01201502,5206
508,293,13,김민준,수 2 금 3 4,T01201503,5303
509,294,13,전병환,수 7 8 금 5,T01222201,5402
510,294,13,김아리,월 1 2 3,T01222202,5405
511,295,13,민윤지,수 4 5 6,D01104401,4219
512,295,13,민윤지,수 7 8 9,D01104402,4219
513,296,13,하준삼,화 4 5 6,D01203A01,4219
514,296,13,김학균,월 4 5 6,D01203A02,4417
515,297,13,김용식,수 1 2 3,D01101E01,4415
516,297,13,이천영,목 4 5 6,D01101E02,4411
517,297,13,이천영,목 1 2 3,D01101E03,4411
518,298,13,권태연,수 7 8 9,P01416101,4405
519,299,13,신진호,월 4 5 6,P01206101,4411
520,300,13,백재승,화 7 8 9,P01314101,0102
521,301,13,백재승,화 1 2 3,P01305301,0518
522,301,13,나찬휘,화 4 5 6,P01305302,4417
523,302,13,권태연,목 7 8 9,P01310101,4207
524,303,13,박기봉,월 7 8 9,P01303301,4219
525,304,13,박기봉,수 1 2 3,P01406101,4404
526,305,13,김주완,금 7 8 9,D01405601,4219
527,306,13,장은갑,금 4 5 6,P01364301,4415
528,306,13,장은갑,목 4 5 6,P01364302,4418
529,307,13,장은갑,목 7 8 9,P01204401,4418
530,308,13,민윤지,수 1 2 3,D02207601,4219
531,309,13,나찬휘,화 7 8 9,P01312101,4417
532,310,13,박홍민,월 1 2 3,P01403101,4219
533,310,13,박홍민,월 4 5 6,P01403102,4219
534,311,13,홍진호,월 4 5 6,P01413101,4402
535,312,13,서재웅,목 4 5 6,P01401301,4417
536,312,13,서재웅,목 1 2 3,P01401302,4417
537,313,13,이용웅,화 7 8 9,D01311601,4219
538,313,13,서재웅,금 4 5 6,D01311602,4219
539,313,13,나찬휘,월 7 8 9,D01311603,4402
540,313,13,이용웅,화 1 2 3,D01311604,4219
541,314,13,홍진호,금 1 2 3,P01452401,4219
542,315,13,김용식,목 4 5 6,P01317101,4219
543,316,13,김혜진(H),화 5 6,N07339401,1501
544,317,13,김혜진(H),월 3 4,N08227201,1501
545,318,13,김혜진(H),월 5 6,N08130201,1501
546,319,13,김혜진(P),월 5 6,N08349101,1303
547,320,13,김혜진(P),월 7 8,N08131201,1303
548,321,13,김혜진(P),월 1 2,N08351301,1303
549,322,13,Spas Angelov Rangelov,월 5 6,N08242101,2411
550,323,13,채유정,수 7 8,N08427301,1301
551,324,13,채유정,목 3,N08363101,1501
552,325,13,Spas Angelov Rangelov,수 1 2,N08355401,2509
553,326,13,이하얀,목 5 6,N08439201,2417
554,327,13,이하얀,목 1 2,N08116201,2417
555,328,13,Aristotelis Zografos,화 7 8,N08307301,1501
556,329,13,Lyudmila Atanasova,월 1 2,N08411301,2411
557,330,13,조혜원,목 5 6,N08301401,1304
558,331,13,김혜진(P),수 4 5 6,N08203201,1403
559,332,13,Aristotelis Zografos,수 1 2 3,N08209301,1501
560,333,13,채유정,수 5 6,N08211201,1501
561,334,13,Lyudmila Atanasova,월 3 4 수 3,N08219201,2411
562,335,13,Aristotelis Zografos,화 1 2,N08105101,1501
563,336,13,Aristotelis Zografos,화 3 4,N08107101,1501
564,337,13,Aristotelis Zografos,목 1 2 3,N08103301,2214
565,338,13,채유정,목 4 5 6,N08111301,1501
566,339,13,Spas Angelov Rangelov,화 3 4,N08134101,2509
567,340,13,Lyudmila Atanasova,화 5 6 목 3,N08109201,2411
568,341,13,Spas Angelov Rangelov,화 1 2,N08361201,2509
569,342,13,김혜진(P),월 10,N08128301,1303
570,343,13,한이슬,수 7 8,N08222201,2303-3
571,344,13,BEREJIANI OTAR,화 5 6,N08366101,2310
572,345,13,김혜진(P),수 1 2 3,N08405201,1403
573,346,13,Lyudmila Atanasova,수 1 2,N08331301,2411
574,347,13,배유진,목 5 6,O12211101,2311
575,348,13,배유진,목 1 2,O10133101,1306
576,349,13,James Nyachae Michira,월 3 4,O10317201,2410
577,350,13,박정경,화 5 6,O12204301,1507-1
578,351,13,박정경,화 3 4,O12201301,1507-1
579,352,13,전온리,화 3 4,O12403101,2404-1
580,353,13,James Nyachae Michira,목 3 4,O12203301,2407
581,354,13,James Nyachae Michira,목 7 8,O12202301,2311
582,355,13,James Nyachae Michira,월 7 8,O10122201,2410
583,356,13,최은지,수 7 8,O12302101,1306
584,357,13,전온리,화 1 2,O10315201,2404-1
585,358,13,라승도,화 1 2,A04301401,2309
586,359,13,김수환,화 5 6,A04452401,1312
587,360,13,추석훈,수 5 6,N04203101,1313
588,361,13,최우익,수 7 8,N11211101,1313
589,362,13,손현익,화 5 6,A04213201,1309
590,363,13,Svetlana Shagaeva,월 7 8,A04131201,1313
591,364,13,Svetlana Shagaeva,월 1 2,A04223201,2410
592,364,13,Svetlana Shagaeva,월 5 6,A04223202,1313
593,365,13,추석훈,화 5 6,A04123201,1313
594,366,13,손현익,화 3 4,A04359201,1312
595,367,13,전미라,수 7 8,A04221201,2303
596,368,13,추석훈,화 3 4,A04125401,1313
597,369,13,추석훈,화 1 2,A04129201,1313
598,370,13,추석훈,수 1 2 3,A04215201,1313
599,371,13,Svetlana Shagaeva,금 5 6,A04323201,1313
600,372,13,서유경,금 7 8,A04321201,1301
601,373,13,김민수,화 7 8,A04355201,1313
602,374,13,황성우,월 1 2,A07377201,1313
603,375,13,김수환,화 7 8,A04453401,1312
604,376,13,홍완석,목 1 2,A04457201,1313
605,377,13,라승도,목 3 4,N04402101,1313
606,378,13,김연수,월 5 6,N04401401,2410
607,379,13,안겔레스쿠록사나커털리나,화 3 4,N11371201,1411
608,380,13,이호창,월 1 수 1 2,N11101201,1411
609,381,13,김정환,목 1 2,N11359101,1411
610,382,13,백승남,수 1 2,N11404201,1308
611,383,13,박정오,화 5 6,N11367101,1411
612,384,13,엄태현,목 5 6,N11351101,1411
613,385,13,박정오,화 7 8,N11352201,1411
614,386,13,Cristina Preutu,화 5 6,N11411101,2306
615,387,13,김정환,월 3 4,N11419101,1411
616,388,13,Cristina Preutu,월 1 2,N11303101,2308
617,389,13,이호창,월 3 4,N11382101,2404-1
618,390,13,박정오,,N11109201,
619,391,13,박정오,수 5 6,N11467101,1411
620,392,13,엄태현,목 7 8,N11415101,1411
621,393,13,김정환,월 2 수 3 4,N11102201,1411
622,394,13,한성숙,목 3 4,N11201101,2302
623,395,13,Cristina Preutu,수 1 2,N11106301,2308
624,395,13,Cristina Preutu,수 5 6,N11106302,2402
625,396,13,백승남,목 1 2,N11123101,2303
626,397,13,한성숙,화 3 4,N11105301,2402-1
627,397,13,Cristina Preutu,월 5 6,N11105302,1411
628,398,13,김정환,목 3,N11121101,1411
629,399,13,안겔레스쿠록사나커털리나,화 1 2,N11377101,1411
630,400,13,김장겸,목 3 4,O03315101,1509
631,401,13,Norazlina Mohd Kiram,월 7 8,O03113201,1509
632,402,13,Sonezza Ladyanna,목 1 2,B03381201,1509
633,403,13,변윤행,목 3 4,B03129201,1308
634,404,13,Sony Karsono,목 7 8,O03307101,1509-1
635,405,13,변윤행,목 5 6,O03309201,1307
636,406,13,김장겸,월 3 4,O03405101,1509
637,407,13,최신영,월 1 2,O03407201,2303-3
638,408,13,이주영,금 1 2,O03209101,1509
639,408,13,이주영,금 3 4,O03209102,1509
640,409,13,송승원,월 5 6,O03313101,1312
641,410,13,Sony Karsono,수 5 6,O03204201,1509-1
642,411,13,Sony Karsono,수 1 2,O03415201,1509-1
643,412,13,김장겸,월 5 6,O03203101,1509
644,413,13,송승원,월 7 8,O03417101,1312
645,414,13,양은심에블린,수 5 6,O03412201,1301
646,415,13,Norazlina Mohd Kiram,화 5 6,O03305101,1509-1
647,416,13,송승원,화 5 6,O03107201,1509
648,417,13,Norazlina Mohd Kiram,수 7 8,B03235201,1509
649,418,13,Norazlina Mohd Kiram,월 1 2,O03211101,1509
650,419,13,Sonezza Ladyanna,월 1 2,O03205101,1509-1
651,419,13,Sonezza Ladyanna,월 3 4,O03205102,1509-1
652,420,13,Sonezza Ladyanna,수 3 4,O03213101,1509
653,421,13,Sonezza Ladyanna,수 7 8,O03101201,1509-1
654,422,13,최신영,월 7 8,O03103101,2303-2
655,423,13,Norazlina Mohd Kiram,수 3 4,O03105201,1509-1
656,424,13,김장겸,목 5 6,O03115101,1509
657,425,13,Norazlina Mohd Kiram,화 3 4,O03109101,1509-1
658,426,13,Sonezza Ladyanna,목 7 8,O03111101,1509
659,427,13,양은심에블린,수 3 4,B03383201,1301
660,428,13,김보형,월 7 8 목 7,T10207101,5101
661,429,13,지수연,금 3 4 5,T10401201,5214
662,430,13,우명균,월 5 수 5 6,T10203101,5312
663,431,13,임신원,월 1 2 3,T10201101,5206
664,432,13,우명균,월 6 수 7 8,T10404301,5312
665,433,13,남윤호,월 3 4 목 2,T10402201,5101
666,434,13,고윤희,월 6 수 2 3,T10308101,5206
667,435,13,고윤희,월 2 목 3 4,T10309201,5101
668,436,13,오세홍,수 4 5 금 6,T10313101,5101
669,437,13,오세홍,수 7 8 금 3 4,T10202101,5101
670,438,13,옥승한,월 7 8 9,F08101701,5402
671,439,13,김보형,화 7 8 목 5 6,T01107A01,5206
672,440,13,남윤호,화 3 4 금 2,T10302201,5101
673,441,13,남윤호,금 7 8 9,T10403201,5101
674,442,13,Mariene de Fatima Cordeiro de Queiroga,금 5 6,A07317201,1311
675,443,13,박동원,수 5 6,N07420101,1311
676,444,13,윤택동,월 3 4,N07203101,1311
677,445,13,임경국,월 10 11,N07362101,1311
678,446,13,김인영,화 3 4,N07306201,2308
679,447,13,임경국,목 10 11,N07361101,1311
680,448,13,윤택동,월 7 8,N07310101,1311
681,449,13,윤택동,화 7 8,N07101101,1311
682,450,13,한송이,목 5 6,N07403101,1311
683,451,13,이성준,화 1 2,N07405101,2308
684,452,13,Mariene de Fatima Cordeiro de Queiroga,수 3 4,A07213401,1311
685,453,13,김인영,금 3 4,A07201101,2311
686,454,13,Mariene de Fatima Cordeiro de Queiroga,수 1 2 금 1 2,A07207701,1311
687,455,13,Mariene de Fatima Cordeiro de Queiroga,월 1 2,A07107401,1311
688,456,13,한송이,화 3 4 목 3 4,A07113401,1311
689,457,13,Mariene de Fatima Cordeiro de Queiroga,화 1 2 목 1 2,A07115801,1311
690,458,13,Mariene de Fatima Cordeiro de Queiroga,월 5 6,N07314101,1311
691,459,13,이충목,월 6 화 3 4,D03380201,5310
692,459,13,이충목,월 7 화 5 6,D03380202,5310
693,460,13,선지웅,화 1 2 목 1,T02103101,5403
694,460,13,선지웅,화 5 6 목 4,T02103102,5403
695,461,13,최기석,월 2 3 수 3 (5203),T02201101,5403
696,461,13,윤재욱,월 6 7 수 6,T02201102,5403
697,462,13,김문수,월 4 수 7 8,T02120101,5311
698,462,13,김문수,월 8 9 수 9,T02120102,5311
699,463,13,최기석,수 6 금 2 3,T02141101,5203
700,464,13,이석룡,월 8 화 1 2,T06304201,5310
701,464,13,이석룡,월 9 목 1 2,T06304202,5310
702,465,13,이성룡,수 2 3 목 3,T05101101,5403
703,466,13,이유경,월 4 5 6,T02459101,5203
704,467,13,김문수,월 7 수 4 5,T02260201,5311
705,468,13,Bernardo Nugroho Yahya,월 1 수 1 2,T03202301,5406
706,469,13,Bernardo Nugroho Yahya,목 4 5 6,T05301201,5203
707,470,13,이충목,금 8 9,T05412101,5403
708,471,13,이성룡,수 7 8 9,T05411101,5403
709,472,13,윤재욱,월 5 화 7 8,T02355201,5403
710,473,13,송미령,화 5 6 수 4,F09362101,0207
711,474,13,명희준,목 3 4,F09206101,0604
712,475,13,신경철,월 1 2 수 2,F09354201,0416
