major_id,major_type,course_type,required_credits,track,applies_from_year,applies_to_year
5,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
5,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
5,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
5,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
5,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
5,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
5,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
5,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
5,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
5,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
5,,GENERAL,32,INTENSIVE_SOLO,2023,2024
6,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
6,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
6,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
6,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
6,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
6,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
6,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
6,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
6,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
6,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
6,,GENERAL,32,INTENSIVE_SOLO,2023,2024
7,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
7,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
7,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
7,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
7,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
7,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
7,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
7,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
7,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
7,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
7,,GENERAL,32,INTENSIVE_SOLO,2023,2024
8,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
8,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
8,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
8,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
8,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
8,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
8,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
8,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
8,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
8,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
8,,GENERAL,32,INTENSIVE_SOLO,2023,2024
9,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
9,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
9,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
9,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
9,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
9,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
9,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
9,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
9,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
9,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
9,,GENERAL,32,INTENSIVE_SOLO,2023,2024
10,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
10,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
10,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
10,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
10,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
10,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
10,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
10,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
10,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
10,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
10,,GENERAL,32,INTENSIVE_SOLO,2023,2024
11,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
11,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
11,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
11,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
11,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
11,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
11,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
11,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
11,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
11,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
11,,GENERAL,32,INTENSIVE_SOLO,2023,2024
12,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
12,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
12,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
12,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
