major_id,liberal_category_id,required_credit,applies_from_year,applies_to_year,
48,2,6,2024,2024,
48,5,12,2024,2024,
48,4,3,2024,2024,
48,20,1,2024,2024,
48,13,1,2024,2024,
49,2,6,2024,2024,
49,5,12,2024,2024,
49,4,3,2024,2024,
49,20,1,2024,2024,
49,13,1,2024,2024,
45,2,6,2024,2024,
45,5,12,2024,2024,
45,4,3,2024,2024,
45,20,1,2024,2024,
45,13,1,2024,2024,
46,2,6,2024,2024,
46,5,12,2024,2024,
46,4,3,2024,2024,
46,20,1,2024,2024,
46,13,1,2024,2024,
47,2,6,2024,2024,
47,5,12,2024,2024,
47,4,3,2024,2024,
47,20,1,2024,2024,
47,13,1,2024,2024,
41,2,6,2024,2024,
41,5,12,2024,2024,
41,4,3,2024,2024,
41,20,1,2024,2024,
41,13,1,2024,2024,
42,2,6,2024,2024,
42,5,12,2024,2024,
42,4,3,2024,2024,
42,20,1,2024,2024,
42,13,1,2024,2024,
50,2,6,2024,2024,
50,5,12,2024,2024,
50,4,3,2024,2024,
50,20,1,2024,2024,
50,13,1,2024,2024,
51,2,6,2024,2024,
51,5,12,2024,2024,
51,4,3,2024,2024,
51,20,1,2024,2024,
51,13,1,2024,2024,
1,2,6,2024,2024,
1,1,6,2024,2024,
1,4,3,2024,2024,
1,20,1,2024,2024,
1,13,1,2024,2024,
2,2,6,2024,2024,
2,1,6,2024,2024,
2,4,3,2024,2024,
2,20,1,2024,2024,
2,13,1,2024,2024,
3,2,6,2024,2024,
3,1,6,2024,2024,
3,4,3,2024,2024,
3,20,1,2024,2024,
3,13,1,2024,2024,
4,2,6,2024,2024,
4,1,6,2024,2024,
4,4,3,2024,2024,
4,20,1,2024,2024,
4,13,1,2024,2024,
17,2,6,2024,2024,
17,1,6,2024,2024,
17,4,3,2024,2024,
17,20,1,2024,2024,
17,13,1,2024,2024,
18,2,6,2024,2024,
18,1,6,2024,2024,
18,4,3,2024,2024,
18,20,1,2024,2024,
18,13,1,2024,2024,
19,2,6,2024,2024,
19,1,6,2024,2024,
19,4,3,2024,2024,
19,20,1,2024,2024,
19,13,1,2024,2024,
20,2,6,2024,2024,
20,1,6,2024,2024,
20,4,3,2024,2024,
20,20,1,2024,2024,
20,13,1,2024,2024,
21,2,6,2024,2024,
21,1,6,2024,2024,
21,4,3,2024,2024,
21,20,1,2024,2024,
21,13,1,2024,2024,
22,2,6,2024,2024,
22,1,6,2024,2024,
22,4,3,2024,2024,
22,20,1,2024,2024,
22,13,1,2024,2024,
23,2,6,2024,2024,
23,1,6,2024,2024,
23,4,3,2024,2024,
23,20,1,2024,2024,
23,13,1,2024,2024,
24,2,6,2024,2024,
24,1,6,2024,2024,
24,4,3,2024,2024,
24,20,1,2024,2024,
24,13,1,2024,2024,
25,2,6,2024,2024,
25,1,6,2024,2024,
25,4,3,2024,2024,
25,20,1,2024,2024,
25,13,1,2024,2024,
26,2,6,2024,2024,
