major_id,course_id,major_type,applies_from_year,applies_to_year
54,257,DOUBLE,,
54,258,DOUBLE,,
55,259,DOUBLE,,
55,262,DOUBLE,,
57,264,DOUBLE,,
57,268,DOUBLE,,
31,271,PRIMARY,,
31,271,DOUBLE,,
31,287,PRIMARY,,
31,287,DOUBLE,,
62,292,PRIMARY,,
62,292,DOUBLE,,
32,296,PRIMARY,,
32,305,PRIMARY,,
32,310,PRIMARY,,
22,316,PRIMARY,,
22,335,PRIMARY,,
22,336,PRIMARY,,
22,337,PRIMARY,,
22,338,PRIMARY,,
59,347,PRIMARY,,
59,348,PRIMARY,,
59,349,PRIMARY,,
59,350,PRIMARY,,
30,363,PRIMARY,,
30,364,PRIMARY,,
30,365,PRIMARY,,
30,366,PRIMARY,,
30,367,PRIMARY,,
18,379,PRIMARY,,
18,380,PRIMARY,,
18,395,PRIMARY,,
18,396,PRIMARY,,
15,400,PRIMARY,,
15,401,PRIMARY,,
15,402,PRIMARY,,
15,403,PRIMARY,,
15,422,PRIMARY,,
15,423,PRIMARY,,
15,424,PRIMARY,,
50,428,PRIMARY,,
50,429,PRIMARY,,
50,430,PRIMARY,,
50,431,PRIMARY,,
28,442,PRIMARY,,
28,452,PRIMARY,,
28,453,PRIMARY,,
28,454,PRIMARY,,
28,455,PRIMARY,,
28,456,PRIMARY,,
43,460,PRIMARY,,
43,461,PRIMARY,,
43,462,PRIMARY,,
43,463,PRIMARY,,
37,473,PRIMARY,,
37,474,PRIMARY,,
37,475,PRIMARY,,
37,476,PRIMARY,,
37,477,PRIMARY,,
61,492,PRIMARY,,
61,493,PRIMARY,,
61,494,PRIMARY,,
21,507,PRIMARY,,
21,508,PRIMARY,,
21,509,PRIMARY,,
21,510,PRIMARY,,
21,511,PRIMARY,,
21,512,PRIMARY,,
21,513,PRIMARY,,
33,522,PRIMARY,,
33,523,PRIMARY,,
33,524,PRIMARY,,
33,525,PRIMARY,,
33,526,PRIMARY,,
33,527,PRIMARY,,
10,540,PRIMARY,,
10,541,PRIMARY,,
10,542,PRIMARY,,
10,543,PRIMARY,,
10,544,PRIMARY,,
24,550,PRIMARY,,
24,551,PRIMARY,,
24,552,PRIMARY,,
3,556,PRIMARY,,
3,557,PRIMARY,,
3,558,PRIMARY,,
3,559,PRIMARY,,
25,575,PRIMARY,,
25,576,PRIMARY,,
25,577,PRIMARY,,
25,578,PRIMARY,,
25,579,PRIMARY,,
11,597,PRIMARY,,
11,598,PRIMARY,,
11,599,PRIMARY,,
11,600,PRIMARY,,
29,613,PRIMARY,,
29,614,PRIMARY,,
29,615,PRIMARY,,
29,616,PRIMARY,,
13,631,PRIMARY,,
13,632,PRIMARY,,
13,633,PRIMARY,,
13,634,PRIMARY,,
13,635,PRIMARY,,
13,636,PRIMARY,,
13,637,PRIMARY,,
63,649,PRIMARY,,
63,650,PRIMARY,,
63,651,PRIMARY,,
63,652,PRIMARY,,
63,653,PRIMARY,,
63,654,PRIMARY,,
40,658,PRIMARY,,
40,659,PRIMARY,,
40,660,PRIMARY,,
40,661,PRIMARY,,
40,662,PRIMARY,,
40,663,PRIMARY,,
12,685,PRIMARY,,
12,686,PRIMARY,,
12,687,PRIMARY,,
12,688,PRIMARY,,
12,689,PRIMARY,,
12,690,PRIMARY,,
12,691,PRIMARY,,
1,697,PRIMARY,,
1,698,PRIMARY,,
1,699,PRIMARY,,
1,700,PRIMARY,,
19,715,PRIMARY,,
19,716,PRIMARY,,
19,717,PRIMARY,,
19,718,PRIMARY,,
19,719,PRIMARY,,
39,735,PRIMARY,,
